Gene	SSBM-CK-1	SSBM-CK-2	SSBM-CK-3	SSBM-SA-1	SSBM-SA-2	SSBM-SA-3	npr1-CK-1	npr1-CK-2	npr1-CK-3	npr1-SA-1	npr1-SA-2	npr1-SA-3	npr1_wrky45-CK-1	npr1_wrky45-CK-2	npr1_wrky45-CK-3	npr1_wrky45-SA-1	npr1_wrky45-SA-2	npr1_wrky45-SA-3	wrky45-CK-1	wrky45-CK-2	wrky45-CK-3	wrky45-SA-1	wrky45-SA-2	wrky45-SA-3
LOC_Os01g02110	23.049288	26.505058	38.760723	8.612665	10.848837	15.601139	35.628639	37.106796	29.332991	16.871956	13.077974	14.974341	31.281929	32.665337	26.539528	13.432349	11.696101	11.051494	37.804924	36.083794	36.449722	18.400034	16.739092	13.505605
LOC_Os01g03620	104.051277	164.375671	280.931915	33.282791	31.720282	37.405064	263.928223	240.416992	263.027863	52.37215	48.20966	46.493687	145.904831	186.530746	142.339432	69.566406	39.216587	34.368	248.395172	248.460678	187.079437	62.605473	64.121201	58.495079
LOC_Os01g03630	23.520491	23.262911	36.457268	11.714489	15.592093	25.118303	37.651806	28.093868	28.19985	16.225077	12.731764	16.94244	25.700462	19.555925	15.635256	11.200319	17.509903	10.959797	32.648529	39.977451	32.980202	23.971134	18.095013	15.112965
LOC_Os01g03640	1.824659	1.748633	2.264165	0.69848	0.747578	0.597234	1.416109	1.831376	1.749695	0.357887	1.119799	0.626695	1.237559	1.876935	0.922951	0.611842	0.547947	0.493954	1.449791	1.631999	1.301465	0.956397	1.55847	1.375769
LOC_Os01g03890	22.798109	21.599771	32.727779	43.341858	40.705009	55.65744	40.126434	32.778664	26.978128	56.712372	60.373493	42.154137	18.974079	24.228138	13.574891	49.641151	45.984432	29.672052	43.621136	40.770367	39.079086	60.211231	57.361969	48.148884
LOC_Os01g03914	12.614181	7.668858	11.873593	89.378724	77.258528	75.65049	8.815232	16.926115	16.035608	58.509265	92.853166	58.011321	15.456135	15.88204	20.348513	64.300766	53.357187	47.513301	4.570241	6.613676	7.95002	30.117409	50.696141	63.427224
LOC_Os01g04800	30.602434	24.203993	51.211063	39.933884	41.26339	60.039886	36.133907	39.46085	43.829273	64.681694	51.477356	55.365604	34.643036	33.851883	30.057583	58.074883	54.853355	38.315788	30.330584	35.884605	26.527962	64.969299	60.657265	54.48732
LOC_Os01g06640	0.234887	0	0.673464	3.949451	4.225482	8.70178	0.185859	0.055913	0	3.831192	2.748862	2.4979	0.095736	0.097498	0.33912	2.980125	5.688819	3.406908	0	0.20976	0	4.695225	2.293525	2.906964
LOC_Os01g07500	51.070675	52.660397	70.591949	30.513899	26.609577	33.349346	70.281029	77.267609	71.478897	32.571022	45.193596	32.768295	69.149223	80.756706	69.026756	32.1861	31.333588	30.740442	61.480656	60.784386	57.244076	29.070982	36.943027	44.672886
LOC_Os01g07590	5.484686	3.848359	2.658007	3.295496	5.417748	2.957973	3.620294	2.59245	2.553231	2.652174	2.303792	3.959559	2.839953	5.14268	3.637305	3.377413	3.802792	6.315154	4.181447	3.373676	2.320644	4.034659	3.411974	4.594753
LOC_Os01g08300	0.353428	1.173427	0.73677	10.103073	3.635451	0.81683	1.206059	0.465572	2.173947	2.623381	2.317253	1.554638	2.364639	0.938702	0	4.375658	2.675916	2.785969	0.482121	0.600929	0.282016	1.329097	0.708067	4.641684
LOC_Os01g08700	34.969332	36.324148	23.500683	89.540512	78.735063	50.654761	18.016213	30.251536	30.460792	49.183298	75.098197	59.695671	19.502621	32.611468	41.149481	70.464687	56.752414	72.784117	22.725941	24.882452	14.553386	46.510469	71.239643	84.548252
LOC_Os01g09700	35.207581	38.951977	67.50341	8.456312	11.594111	12.5811	43.554886	42.839558	40.821762	16.069771	19.480259	11.042985	58.624184	63.452229	41.127628	12.712126	5.526175	5.27863	46.841705	53.063034	48.491554	8.390836	7.825891	6.686713
