Regulator	Target	MI	pvalue
LOC_Os03g26210	LOC_Os05g41090	1.0735095298489317	0.01800216217904982
LOC_Os03g26210	LOC_Os01g02110	0.984506423434558	0.01800216217904982
LOC_Os11g03370	LOC_Os07g12340	0.9682521408166502	0.0017756701710562872
LOC_Os09g37710	LOC_Os11g06890	0.8865996233612178	7.598254825325057E-8
LOC_Os06g35960	LOC_Os07g44440	1.086866848215779	0.0
LOC_Os03g21240	LOC_Os02g36924	0.8455238543004705	0.01800216217904982
LOC_Os07g12340	LOC_Os04g25400	1.016435640687446	1.046103323965042E-6
LOC_Os12g39850	LOC_Os08g36500	0.8445916545990498	0.01800216217904982
LOC_Os06g35960	LOC_Os04g56990	1.039720770839918	0.01800216217904982
LOC_Os03g49990	LOC_Os11g30430	0.9985203164227885	2.3705037932586492E-11
LOC_Os07g41370	LOC_Os12g38000	0.9802019887536485	1.6077677271519875E-4
LOC_Os01g11910	LOC_Os02g42350	1.0086597252953227	1.6077677271519875E-4
LOC_Os11g16290	LOC_Os03g13250	0.8960883087185904	0.01800216217904982
LOC_Os06g08500	LOC_Os09g26880	0.9949671414148024	1.6077677271519875E-4
LOC_Os07g41370	LOC_Os12g38051	1.0472017526793695	0.0
LOC_Os06g35960	LOC_Os01g52260	1.051272252505354	0.0
LOC_Os02g04640	LOC_Os06g14030	0.9540387825621742	1.3452427288118685E-5
LOC_Os07g12340	LOC_Os06g03770	0.9906840539447281	1.6077677271519875E-4
LOC_Os01g02110	LOC_Os04g37619	1.0132125207990479	0.0
LOC_Os05g47650	LOC_Os01g52260	1.0261608785915068	0.01800216217904982
LOC_Os01g02110	LOC_Os02g35490	0.9743310664035245	3.318705310562109E-10
LOC_Os01g72490	LOC_Os03g20780	0.9302608921939048	1.046103323965042E-6
LOC_Os01g02110	LOC_Os12g06810	0.8773227413753615	0.01800216217904982
LOC_Os01g66120	LOC_Os10g27330	0.9925383203076574	7.598254825325057E-8
LOC_Os03g26210	LOC_Os04g53240	0.9639838595051068	1.046103323965042E-6
LOC_Os07g39820	LOC_Os06g12610	1.091814089259092	1.3452427288118685E-5
LOC_Os03g09100	LOC_Os12g38000	0.9239469985980044	1.6077677271519875E-4
LOC_Os11g03370	LOC_Os04g36740	1.0302819354623962	0.01800216217904982
LOC_Os02g36924	LOC_Os01g53600	0.8326394943920256	1.046103323965042E-6
LOC_Os03g20550	LOC_Os06g06090	0.9762473346137672	2.3705037932586492E-11
LOC_Os03g08470	LOC_Os11g05400	0.9045874861827633	1.3452427288118685E-5
LOC_Os03g26210	LOC_Os03g06980	1.0479728706109026	1.046103323965042E-6
LOC_Os02g57490	LOC_Os08g41880	0.9559473447224465	0.0017756701710562872
LOC_Os01g66120	LOC_Os03g10340	1.0041144352909983	1.6077677271519875E-4
LOC_Os04g56990	LOC_Os07g47100	1.0253366672173287	5.1755999486147175E-9
LOC_Os03g61570	LOC_Os02g52314	1.0528019744340316	5.1755999486147175E-9
LOC_Os09g37710	LOC_Os06g03770	1.0277340178210939	0.01800216217904982
LOC_Os07g12340	LOC_Os01g50820	1.0211139980470076	7.598254825325057E-8
LOC_Os03g26210	LOC_Os02g51110	1.1059762331924505	0.0
LOC_Os07g12340	LOC_Os01g49830	1.0064687681829365	0.0
LOC_Os01g02110	LOC_Os05g39990	1.064846330114713	0.0
LOC_Os03g26210	LOC_Os08g33710	1.0780897531742357	7.598254825325057E-8
LOC_Os07g41370	LOC_Os01g08700	1.0541613371015832	3.318705310562109E-10
LOC_Os04g54900	LOC_Os05g45810	1.0152088925851535	1.6077677271519875E-4
LOC_Os03g20550	LOC_Os12g12590	0.9435175911425706	0.0017756701710562872
LOC_Os01g02110	LOC_Os06g03770	0.996254255329919	1.6077677271519875E-4
LOC_Os01g11910	LOC_Os01g52130	1.0217406413116814	1.3452427288118685E-5
LOC_Os02g47660	LOC_Os11g08210	0.9083963118173763	0.0017756701710562872
LOC_Os03g61570	LOC_Os04g39110	0.9658932746138369	0.01800216217904982
LOC_Os03g47740	LOC_Os10g25550	0.8289385924212768	0.01800216217904982
LOC_Os01g72370	LOC_Os02g13370	0.9403914704750349	1.3452427288118685E-5
LOC_Os03g61570	LOC_Os03g52320	0.9852898594559107	2.3705037932586492E-11
LOC_Os11g08210	LOC_Os10g38740	1.0768094072644934	0.0
LOC_Os06g08500	LOC_Os10g40600	0.9684411922551389	0.01800216217904982
LOC_Os01g06640	LOC_Os03g02680	0.99369657734912	0.01800216217904982
LOC_Os01g66120	LOC_Os10g30790	1.085496282867756	0.01800216217904982
LOC_Os09g37710	LOC_Os09g39640	0.9751785596690501	0.0
LOC_Os09g37710	LOC_Os04g25400	1.0269696425287027	0.0
LOC_Os09g37710	LOC_Os02g35490	1.0373639713252	0.0
LOC_Os02g48060	LOC_Os11g06820	0.9478381715002951	0.01800216217904982
LOC_Os03g61570	LOC_Os01g03630	0.8829982799215396	0.0017756701710562872
LOC_Os11g08210	LOC_Os05g11710	1.0809176482686715	7.598254825325057E-8
LOC_Os03g49990	LOC_Os01g61510	0.9237659545491437	1.3452427288118685E-5
LOC_Os01g11910	LOC_Os10g11500	0.9326670035199479	5.1755999486147175E-9
LOC_Os04g23910	LOC_Os04g50950	0.9701013396524842	1.6077677271519875E-4
LOC_Os09g37710	LOC_Os03g60080	1.0418054307282565	1.6077677271519875E-4
LOC_Os01g72490	LOC_Os01g66120	1.0176942724531837	5.1755999486147175E-9
LOC_Os03g55610	LOC_Os02g56120	1.0277340178210939	0.01800216217904982
LOC_Os01g11910	LOC_Os06g07230	1.052244284983164	0.0
LOC_Os06g35960	LOC_Os11g08210	1.057594322598314	7.598254825325057E-8
LOC_Os11g08210	LOC_Os11g04720	0.9806229425067653	0.01800216217904982
LOC_Os03g61570	LOC_Os07g32800	0.9607165703359646	1.046103323965042E-6
LOC_Os01g04800	LOC_Os07g12340	1.0445782717943417	1.046103323965042E-6
LOC_Os04g56990	LOC_Os08g01120	0.9452433142991643	7.598254825325057E-8
LOC_Os01g04800	LOC_Os06g46030	1.049707171045025	0.0
LOC_Os02g43970	LOC_Os03g55610	1.0157472648022694	0.01800216217904982
LOC_Os04g31900	LOC_Os01g03620	1.0003571696018767	1.3452427288118685E-5
LOC_Os03g51970	LOC_Os09g08430	0.9683137194250004	1.6077677271519875E-4
LOC_Os09g37710	LOC_Os04g52900	1.0170154940002922	7.598254825325057E-8
LOC_Os06g08500	LOC_Os01g46980	1.0719549555325996	1.3452427288118685E-5
LOC_Os03g20790	LOC_Os03g20780	1.0318363573784928	0.0
LOC_Os06g02560	LOC_Os08g32690	0.9270695021431675	1.046103323965042E-6
LOC_Os04g31900	LOC_Os03g03510	1.022495390838057	0.0
LOC_Os09g25070	LOC_Os03g19275	1.1303794991709244	1.6077677271519875E-4
LOC_Os02g04640	LOC_Os02g41890	0.9553704991470969	0.0017756701710562872
LOC_Os01g49160	LOC_Os05g38120	1.0192557428859699	0.0
LOC_Os06g08500	LOC_Os12g13380	0.9916609663150953	7.598254825325057E-8
LOC_Os03g20550	LOC_Os03g06010	0.8385411187371112	1.046103323965042E-6
