regulatoryGene	targetGene	weight	TF_gene	TF
Nitab4.5_0025760g0010	Nitab4.5_0003207g0080	0.081512515	WRKY	TF
Nitab4.5_0000188g0310	Nitab4.5_0001650g0160	0.080728891	NAC	TF
Nitab4.5_0008488g0010	Nitab4.5_0007835g0010	0.079052078	MYB	TF
Nitab4.5_0001962g0080	Nitab4.5_0012119g0010	0.078888133	RWP-RK	TF
Nitab4.5_0001962g0080	Nitab4.5_0000509g0010	0.07888068	RWP-RK	TF
Nitab4.5_0025760g0010	Nitab4.5_0001600g0120	0.078339887	WRKY	TF
Nitab4.5_0000308g0220	Nitab4.5_0000319g0420	0.07656537	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0000837g0120	0.074613505	WRKY	TF
Nitab4.5_0000284g0090	Nitab4.5_0011228g0020	0.074358178	TAZ	TF
Nitab4.5_0014751g0010	Nitab4.5_0001255g0020	0.074353679	C2H2	TF
Nitab4.5_0000188g0310	Nitab4.5_0003099g0070	0.074286842	NAC	TF
Nitab4.5_0025760g0010	Nitab4.5_0000562g0100	0.073682519	WRKY	TF
Nitab4.5_0005992g0010	Nitab4.5_0012487g0020	0.073576177	WRKY	TF
Nitab4.5_0000058g0020	Nitab4.5_0000754g0270	0.07344699	AP2-EREBP	TF
Nitab4.5_0000188g0310	Nitab4.5_0010210g0010	0.07261447	NAC	TF
Nitab4.5_0001304g0070	Nitab4.5_0000571g0010	0.071426998	C2C2-Dof	TF
Nitab4.5_0025760g0010	Nitab4.5_0000681g0250	0.070715205	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0000360g0100	0.070636664	WRKY	TF
Nitab4.5_0007025g0030	Nitab4.5_0000939g0050	0.070318245	MYB	TF
Nitab4.5_0025760g0010	Nitab4.5_0002926g0010	0.070235399	WRKY	TF
Nitab4.5_0027175g0010	Nitab4.5_0001540g0080	0.070015852	C2C2-GATA	TF
Nitab4.5_0007375g0020	Nitab4.5_0005904g0070	0.069764233	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0000681g0250	0.069726963	WRKY	TF
Nitab4.5_0009514g0070	Nitab4.5_0001840g0060	0.069715184	PLATZ	TF
Nitab4.5_0000188g0310	Nitab4.5_0000906g0010	0.06966233	NAC	TF
Nitab4.5_0000188g0310	Nitab4.5_0012173g0020	0.0695589	NAC	TF
Nitab4.5_0001778g0090	Nitab4.5_0001615g0040	0.069260037	HSF	TF
Nitab4.5_0025760g0010	Nitab4.5_0001581g0010	0.068988229	WRKY	TF
Nitab4.5_0025760g0010	Nitab4.5_0004326g0040	0.068964205	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0008527g0020	0.068835487	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0004326g0040	0.068360547	WRKY	TF
Nitab4.5_0002881g0030	Nitab4.5_0005139g0070	0.068206083	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0000630g0090	0.068015635	WRKY	TF
Nitab4.5_0005476g0020	Nitab4.5_0000644g0010	0.067990497	CCAAT	TF
Nitab4.5_0009734g0010	Nitab4.5_0001109g0060	0.067881016	C2C2-CO-like	TF
Nitab4.5_0002760g0050	Nitab4.5_0000688g0210	0.06773234	bZIP	TF
Nitab4.5_0002182g0080	Nitab4.5_0002230g0020	0.067707924	C2C2-GATA	TF
Nitab4.5_0002304g0070	Nitab4.5_0003218g0050	0.067652569	C2C2-GATA	TF
Nitab4.5_0025760g0010	Nitab4.5_0004097g0050	0.067509578	WRKY	TF
Nitab4.5_0001735g0010	Nitab4.5_0004282g0040	0.067324324	C2H2	TF
Nitab4.5_0001180g0220	Nitab4.5_0003447g0040	0.067010488	MYB	TF
Nitab4.5_0005060g0020	Nitab4.5_0007051g0020	0.066534095	MYB	TF
Nitab4.5_0009714g0010	Nitab4.5_0000233g0050	0.066332761	MYB	TF
Nitab4.5_0009514g0070	Nitab4.5_0001239g0110	0.065811193	PLATZ	TF
Nitab4.5_0001204g0100	Nitab4.5_0007208g0010	0.065801785	NAC	TF
Nitab4.5_0025760g0010	Nitab4.5_0009495g0020	0.065744658	WRKY	TF
Nitab4.5_0002266g0100	Nitab4.5_0009344g0030	0.0657139	C2C2-GATA	TF
Nitab4.5_0000188g0310	Nitab4.5_0001962g0080	0.065331347	NAC	TF
Nitab4.5_0002367g0010	Nitab4.5_0006574g0010	0.065169647	ARF	TF
Nitab4.5_0001962g0080	Nitab4.5_0000462g0110	0.065159307	RWP-RK	TF
Nitab4.5_0000850g0070	Nitab4.5_0000043g0320	0.065141986	G2-like	TF
Nitab4.5_0007375g0020	Nitab4.5_0003207g0080	0.065036936	WRKY	TF
Nitab4.5_0003309g0010	Nitab4.5_0005622g0070	0.064796884	zf-HD	TF
Nitab4.5_0007375g0020	Nitab4.5_0001310g0010	0.064664557	WRKY	TF
Nitab4.5_0000188g0310	Nitab4.5_0006635g0040	0.064359569	NAC	TF
Nitab4.5_0007375g0020	Nitab4.5_0000416g0220	0.064200948	WRKY	TF
Nitab4.5_0005709g0020	Nitab4.5_0001319g0010	0.06399145	TCP	TF
Nitab4.5_0000850g0070	Nitab4.5_0006300g0020	0.063903815	G2-like	TF
Nitab4.5_0000188g0310	Nitab4.5_0000143g0410	0.063886905	NAC	TF
Nitab4.5_0003182g0070	Nitab4.5_0000525g0290	0.063880791	MADS	TF
Nitab4.5_0025760g0010	Nitab4.5_0003322g0050	0.063813834	WRKY	TF
Nitab4.5_0009714g0010	Nitab4.5_0002814g0010	0.063800477	MYB	TF
Nitab4.5_0014911g0010	Nitab4.5_0000814g0020	0.063731163	AP2-EREBP	TF
Nitab4.5_0000188g0310	Nitab4.5_0000388g0110	0.063650927	NAC	TF
Nitab4.5_0010633g0050	Nitab4.5_0001301g0040	0.063600012	MYB	TF
Nitab4.5_0006069g0010	Nitab4.5_0005255g0020	0.063556966	LOB	TF
Nitab4.5_0007375g0020	Nitab4.5_0006088g0020	0.063328916	WRKY	TF
Nitab4.5_0000673g0080	Nitab4.5_0005320g0020	0.063281042	MYB	TF
Nitab4.5_0000188g0310	Nitab4.5_0000348g0040	0.06313228	NAC	TF
Nitab4.5_0025760g0010	Nitab4.5_0002120g0050	0.0630458	WRKY	TF
Nitab4.5_0001930g0010	Nitab4.5_0000189g0170	0.063004708	mTERF	TF
Nitab4.5_0000850g0070	Nitab4.5_0011578g0040	0.06295604	G2-like	TF
Nitab4.5_0000141g0300	Nitab4.5_0003218g0050	0.062690851	HB	TF
Nitab4.5_0007375g0020	Nitab4.5_0002120g0050	0.062590714	WRKY	TF
Nitab4.5_0000284g0090	Nitab4.5_0013376g0010	0.062578372	TAZ	TF
Nitab4.5_0006069g0010	Nitab4.5_0002908g0110	0.062545313	LOB	TF
Nitab4.5_0000188g0310	Nitab4.5_0023530g0010	0.062522569	NAC	TF
Nitab4.5_0010381g0010	Nitab4.5_0004816g0090	0.062515738	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0002823g0010	0.062433579	WRKY	TF
Nitab4.5_0006628g0020	Nitab4.5_0004032g0050	0.062248806	HB	TF
Nitab4.5_0007375g0020	Nitab4.5_0003991g0020	0.062193318	WRKY	TF
Nitab4.5_0004657g0030	Nitab4.5_0002446g0130	0.062137481	ARF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000360g0100	0.061976781	WRKY	TF
Nitab4.5_0000308g0220	Nitab4.5_0011765g0020	0.061562293	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0005622g0070	0.061527714	WRKY	TF
Nitab4.5_0025760g0010	Nitab4.5_0004861g0030	0.061400085	WRKY	TF
Nitab4.5_0001930g0010	Nitab4.5_0002991g0030	0.061186293	mTERF	TF
Nitab4.5_0007527g0010	Nitab4.5_0001755g0060	0.061076468	C2C2-GATA	TF
Nitab4.5_0001778g0090	Nitab4.5_0000688g0210	0.06103131	HSF	TF
Nitab4.5_0002289g0130	Nitab4.5_0014911g0010	0.060715027	AP2-EREBP	TF
Nitab4.5_0001610g0040	Nitab4.5_0005979g0010	0.060619692	NAC	TF
Nitab4.5_0000188g0310	Nitab4.5_0002910g0010	0.060520033	NAC	TF
Nitab4.5_0000188g0310	Nitab4.5_0002367g0170	0.060412663	NAC	TF
Nitab4.5_0000308g0220	Nitab4.5_0000634g0080	0.060340715	bHLH	TF
Nitab4.5_0009714g0010	Nitab4.5_0000277g0060	0.060295088	MYB	TF
Nitab4.5_0002863g0040	Nitab4.5_0002354g0030	0.060174718	C2C2-Dof	TF
Nitab4.5_0001930g0010	Nitab4.5_0001106g0080	0.060138218	mTERF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000350g0050	0.060024026	WRKY	TF
Nitab4.5_0001930g0010	Nitab4.5_0003368g0030	0.059981938	mTERF	TF
Nitab4.5_0000497g0200	Nitab4.5_0008527g0010	0.059971764	LIM	TF
Nitab4.5_0000850g0070	Nitab4.5_0000233g0050	0.059909854	G2-like	TF
Nitab4.5_0007375g0020	Nitab4.5_0000990g0040	0.059839133	WRKY	TF
Nitab4.5_0007330g0040	Nitab4.5_0009370g0010	0.059814812	DBP	TF
Nitab4.5_0009714g0010	Nitab4.5_0006300g0020	0.05962676	MYB	TF
Nitab4.5_0003077g0060	Nitab4.5_0011709g0010	0.059586968	TCP	TF
Nitab4.5_0000092g0120	Nitab4.5_0001711g0060	0.059579636	GRAS	TF
Nitab4.5_0005648g0020	Nitab4.5_0002334g0130	0.05952913	HSF	TF
Nitab4.5_0000287g0240	Nitab4.5_0007208g0010	0.059476863	bZIP	TF
Nitab4.5_0013336g0010	Nitab4.5_0000716g0020	0.059458129	ARF	TF
Nitab4.5_0000497g0200	Nitab4.5_0000681g0080	0.059367718	LIM	TF
Nitab4.5_0001962g0080	Nitab4.5_0003099g0070	0.059324428	RWP-RK	TF
Nitab4.5_0009734g0010	Nitab4.5_0001239g0110	0.059213023	C2C2-CO-like	TF
Nitab4.5_0010633g0050	Nitab4.5_0002881g0030	0.059203592	MYB	TF
Nitab4.5_0005648g0020	Nitab4.5_0007454g0020	0.059191919	HSF	TF
Nitab4.5_0007375g0020	Nitab4.5_0009495g0020	0.059165286	WRKY	TF
Nitab4.5_0002760g0050	Nitab4.5_0003884g0020	0.059148555	bZIP	TF
Nitab4.5_0000850g0070	Nitab4.5_0000277g0060	0.059113375	G2-like	TF
