GO:0080016	Zm00001eb017120
GO:0010295	Zm00001eb176720
GO:0006075	Zm00001eb001430
GO:0006075	Zm00001eb002100
GO:0006075	Zm00001eb012320
GO:0006075	Zm00001eb014440
GO:0006075	Zm00001eb026200
GO:0006075	Zm00001eb035140
GO:0006075	Zm00001eb049030
GO:0006075	Zm00001eb102730
GO:0006075	Zm00001eb152900
GO:0006075	Zm00001eb157150
GO:0006075	Zm00001eb162890
GO:0006075	Zm00001eb163000
GO:0006075	Zm00001eb174950
GO:0006075	Zm00001eb179240
GO:0006075	Zm00001eb228690
GO:0006075	Zm00001eb228700
GO:0006075	Zm00001eb238590
GO:0006075	Zm00001eb259590
GO:0006075	Zm00001eb259600
GO:0006075	Zm00001eb259610
GO:0006075	Zm00001eb268200
GO:0006075	Zm00001eb271900
GO:0006075	Zm00001eb333660
GO:0006075	Zm00001eb335840
GO:0006075	Zm00001eb374050
GO:0006075	Zm00001eb412210
GO:0006075	Zm00001eb421210
GO:0102145	Zm00001eb071090
GO:0070626	Zm00001eb015040
GO:0003973	Zm00001eb093570
GO:0044571	Zm00001eb310290
GO:0004314	Zm00001eb013760
GO:0030785	Zm00001eb189210
GO:0030785	Zm00001eb312420
GO:0003949	Zm00001eb020250
GO:0003949	Zm00001eb287580
GO:0047513	Zm00001eb027590
GO:0046509	Zm00001eb034810
GO:0003843	Zm00001eb001430
GO:0003843	Zm00001eb002100
GO:0003843	Zm00001eb012320
GO:0003843	Zm00001eb014440
GO:0003843	Zm00001eb026200
GO:0003843	Zm00001eb035140
GO:0003843	Zm00001eb049030
GO:0003843	Zm00001eb102730
GO:0003843	Zm00001eb152900
GO:0003843	Zm00001eb157150
GO:0003843	Zm00001eb162890
GO:0003843	Zm00001eb163000
GO:0003843	Zm00001eb174950
GO:0003843	Zm00001eb179240
GO:0003843	Zm00001eb228690
GO:0003843	Zm00001eb228700
GO:0003843	Zm00001eb238590
GO:0003843	Zm00001eb259590
GO:0003843	Zm00001eb259600
GO:0003843	Zm00001eb259610
GO:0003843	Zm00001eb268200
GO:0003843	Zm00001eb268230
GO:0003843	Zm00001eb271900
GO:0003843	Zm00001eb333660
GO:0003843	Zm00001eb335840
GO:0003843	Zm00001eb374050
GO:0003843	Zm00001eb412210
GO:0003843	Zm00001eb421210
GO:0000148	Zm00001eb001430
GO:0000148	Zm00001eb002100
GO:0000148	Zm00001eb012320
GO:0000148	Zm00001eb014440
GO:0000148	Zm00001eb026200
GO:0000148	Zm00001eb035140
GO:0000148	Zm00001eb049030
GO:0000148	Zm00001eb102730
GO:0000148	Zm00001eb152900
GO:0000148	Zm00001eb157150
GO:0000148	Zm00001eb162890
GO:0000148	Zm00001eb163000
GO:0000148	Zm00001eb174950
GO:0000148	Zm00001eb179240
GO:0000148	Zm00001eb228690
GO:0000148	Zm00001eb228700
GO:0000148	Zm00001eb238590
GO:0000148	Zm00001eb259590
GO:0000148	Zm00001eb259600
GO:0000148	Zm00001eb259610
GO:0000148	Zm00001eb268200
GO:0000148	Zm00001eb271900
GO:0000148	Zm00001eb333660
GO:0000148	Zm00001eb335840
GO:0000148	Zm00001eb374050
GO:0000148	Zm00001eb412210
GO:0000148	Zm00001eb421210
GO:0003844	Zm00001eb084160
GO:0003844	Zm00001eb228530
GO:0003844	Zm00001eb242610
GO:0003844	Zm00001eb357830
GO:0004645	Zm00001eb057840
GO:0004645	Zm00001eb147780
GO:0008935	Zm00001eb157640
GO:0061522	Zm00001eb033120
GO:0016629	Zm00001eb040310
GO:0016629	Zm00001eb177330
GO:0003841	Zm00001eb166180
GO:0030604	Zm00001eb126690
GO:0030604	Zm00001eb334370
GO:0030604	Zm00001eb334380
GO:0008661	Zm00001eb287860
GO:0008661	Zm00001eb302370
GO:0008661	Zm00001eb377300
GO:0004430	Zm00001eb027210
GO:0004430	Zm00001eb087390
GO:0004430	Zm00001eb114410
GO:0004430	Zm00001eb168670
GO:0004430	Zm00001eb326430
GO:0004430	Zm00001eb352480
GO:0004430	Zm00001eb361560
GO:0004430	Zm00001eb377950
GO:0005545	Zm00001eb012390
GO:0005545	Zm00001eb037740
GO:0005545	Zm00001eb052500
GO:0005545	Zm00001eb058540
GO:0005545	Zm00001eb100650
GO:0005545	Zm00001eb112340
GO:0005545	Zm00001eb155950
GO:0005545	Zm00001eb168140
GO:0005545	Zm00001eb176420
GO:0005545	Zm00001eb192120
GO:0005545	Zm00001eb192130
GO:0005545	Zm00001eb251410
GO:0005545	Zm00001eb266760
GO:0005545	Zm00001eb274640
GO:0005545	Zm00001eb281770
GO:0005545	Zm00001eb294700
GO:0005545	Zm00001eb342730
GO:0005545	Zm00001eb349020
GO:0005545	Zm00001eb358540
GO:0005545	Zm00001eb366190
GO:0005545	Zm00001eb375200
GO:0005545	Zm00001eb382840
GO:0005545	Zm00001eb383210
GO:0005545	Zm00001eb397650
GO:0016303	Zm00001eb178330
GO:0000285	Zm00001eb019420
GO:0000285	Zm00001eb041840
GO:0000285	Zm00001eb044300
